tested_clust	nb_unique_seq_tested_clust	tested_clust_list_sequences	ref_clust	nb_unique_seq_ref_clust	ref_clust_list_sequences	nb_overlap	overlap_list_sequences
17	63	clone.9;clone.1;clone.37;clone.28;clone.9;clone.9;clone.4;clone.3;clone.10;clone.9;clone.39;clone.9;clone.32;clone.1;clone.5;clone.4;clone.2;clone.9;clone.9;clone.44;clone.9;clone.9;clone.9;clone.9;clone.1;clone.9;clone.10;clone.9;clone.9;clone.10;clone.9;clone.9;clone.3;clone.9;clone.9;clone.54;clone.9;clone.9;clone.9;clone.3;clone.2;clone.2;clone.9;clone.25;clone.9;clone.12;clone.9;clone.10;clone.2;clone.12;clone.2;clone.9;clone.5;clone.12;clone.10;clone.9;clone.31;clone.9;clone.4;clone.9;clone.3;clone.4;clone.1	2	1	clone.2	1	clone.2
17	63	clone.9;clone.1;clone.37;clone.28;clone.9;clone.9;clone.4;clone.3;clone.10;clone.9;clone.39;clone.9;clone.32;clone.1;clone.5;clone.4;clone.2;clone.9;clone.9;clone.44;clone.9;clone.9;clone.9;clone.9;clone.1;clone.9;clone.10;clone.9;clone.9;clone.10;clone.9;clone.9;clone.3;clone.9;clone.9;clone.54;clone.9;clone.9;clone.9;clone.3;clone.2;clone.2;clone.9;clone.25;clone.9;clone.12;clone.9;clone.10;clone.2;clone.12;clone.2;clone.9;clone.5;clone.12;clone.10;clone.9;clone.31;clone.9;clone.4;clone.9;clone.3;clone.4;clone.1	4	405	clone.1;clone.28;clone.2;clone.11;clone.29;clone.31;clone.20;clone.10;clone.2;clone.2;clone.2;clone.32;clone.33;clone.20;clone.34;clone.2;clone.35;clone.25;clone.4;clone.36;clone.28;clone.24;clone.2;clone.15;clone.38;clone.4;clone.10;clone.10;clone.39;clone.2;clone.4;clone.40;clone.11;clone.10;clone.36;clone.39;clone.41;clone.8;clone.43;clone.20;clone.35;clone.2;clone.43;clone.10;clone.22;clone.10;clone.2;clone.4;clone.11;clone.2;clone.44;clone.21;clone.43;clone.29;clone.10;clone.45;clone.39;clone.36;clone.25;clone.4;clone.4;clone.4;clone.4;clone.2;clone.2;clone.2;clone.10;clone.2;clone.23;clone.11;clone.11;clone.42;clone.43;clone.19;clone.43;clone.46;clone.4;clone.26;clone.10;clone.47;clone.48;clone.14;clone.10;clone.10;clone.24;clone.49;clone.4;clone.2;clone.36;clone.34;clone.10;clone.31;clone.43;clone.15;clone.24;clone.10;clone.8;clone.2;clone.20;clone.1;clone.2;clone.4;clone.39;clone.11;clone.10;clone.49;clone.50;clone.43;clone.10;clone.2;clone.2;clone.4;clone.1;clone.7;clone.49;clone.2;clone.2;clone.38;clone.4;clone.28;clone.15;clone.18;clone.12;clone.43;clone.7;clone.4;clone.46;clone.2;clone.10;clone.20;clone.10;clone.10;clone.2;clone.36;clone.8;clone.11;clone.2;clone.22;clone.20;clone.4;clone.10;clone.26;clone.37;clone.2;clone.28;clone.36;clone.43;clone.21;clone.10;clone.4;clone.20;clone.43;clone.46;clone.11;clone.10;clone.53;clone.43;clone.2;clone.10;clone.20;clone.10;clone.25;clone.11;clone.39;clone.7;clone.43;clone.37;clone.25;clone.17;clone.5;clone.28;clone.46;clone.8;clone.10;clone.10;clone.4;clone.2;clone.49;clone.2;clone.10;clone.5;clone.4;clone.1;clone.2;clone.10;clone.11;clone.2;clone.25;clone.2;clone.1;clone.11;clone.11;clone.4;clone.12;clone.35;clone.10;clone.10;clone.4;clone.2;clone.8;clone.23;clone.10;clone.4;clone.10;clone.44;clone.53;clone.45;clone.10;clone.2;clone.21;clone.4;clone.2;clone.47;clone.24;clone.2;clone.49;clone.33;clone.10;clone.4;clone.11;clone.4;clone.15;clone.22;clone.43;clone.2;clone.39;clone.31;clone.2;clone.10;clone.1;clone.2;clone.10;clone.54;clone.5;clone.41;clone.11;clone.10;clone.4;clone.24;clone.10;clone.20;clone.14;clone.20;clone.1;clone.24;clone.37;clone.2;clone.10;clone.12;clone.55;clone.25;clone.56;clone.20;clone.5;clone.12;clone.40;clone.43;clone.10;clone.24;clone.38;clone.4;clone.2;clone.4;clone.2;clone.31;clone.1;clone.2;clone.36;clone.54;clone.1;clone.9;clone.47;clone.10;clone.39;clone.10;clone.1;clone.38;clone.22;clone.28;clone.4;clone.10;clone.43;clone.10;clone.43;clone.43;clone.51;clone.10;clone.10;clone.4;clone.11;clone.47;clone.1;clone.24;clone.51;clone.39;clone.1;clone.49;clone.20;clone.14;clone.4;clone.50;clone.1;clone.2;clone.35;clone.11;clone.8;clone.45;clone.24;clone.8;clone.24;clone.43;clone.4;clone.38;clone.8;clone.36;clone.18;clone.2;clone.11;clone.4;clone.55;clone.8;clone.14;clone.12;clone.2;clone.2;clone.2;clone.4;clone.17;clone.11;clone.4;clone.4;clone.49;clone.4;clone.4;clone.2;clone.2;clone.10;clone.37;clone.2;clone.4;clone.10;clone.28;clone.10;clone.5;clone.2;clone.33;clone.10;clone.20;clone.23;clone.20;clone.35;clone.10;clone.36;clone.19;clone.55;clone.5;clone.6;clone.24;clone.43;clone.46;clone.39;clone.4;clone.12;clone.2;clone.4;clone.10;clone.37;clone.2;clone.11;clone.14;clone.22;clone.22;clone.20;clone.8;clone.4;clone.2;clone.11;clone.11;clone.56;clone.2;clone.43;clone.39;clone.44;clone.1;clone.8;clone.2;clone.1;clone.8;clone.48;clone.2;clone.4;clone.20;clone.8;clone.11;clone.10;clone.20;clone.43;clone.14;clone.2;clone.20;clone.1;clone.38;clone.22;clone.2;clone.1	15	clone.9;clone.1;clone.37;clone.28;clone.4;clone.10;clone.39;clone.32;clone.5;clone.2;clone.44;clone.54;clone.25;clone.12;clone.31
17	63	clone.9;clone.1;clone.37;clone.28;clone.9;clone.9;clone.4;clone.3;clone.10;clone.9;clone.39;clone.9;clone.32;clone.1;clone.5;clone.4;clone.2;clone.9;clone.9;clone.44;clone.9;clone.9;clone.9;clone.9;clone.1;clone.9;clone.10;clone.9;clone.9;clone.10;clone.9;clone.9;clone.3;clone.9;clone.9;clone.54;clone.9;clone.9;clone.9;clone.3;clone.2;clone.2;clone.9;clone.25;clone.9;clone.12;clone.9;clone.10;clone.2;clone.12;clone.2;clone.9;clone.5;clone.12;clone.10;clone.9;clone.31;clone.9;clone.4;clone.9;clone.3;clone.4;clone.1	16	75	clone.18;clone.10;clone.36;clone.2;clone.18;clone.18;clone.18;clone.43;clone.20;clone.9;clone.18;clone.18;clone.4;clone.10;clone.10;clone.39;clone.52;clone.18;clone.18;clone.8;clone.5;clone.18;clone.3;clone.53;clone.18;clone.18;clone.2;clone.18;clone.18;clone.23;clone.18;clone.24;clone.18;clone.4;clone.18;clone.10;clone.7;clone.27;clone.18;clone.20;clone.18;clone.47;clone.18;clone.18;clone.2;clone.4;clone.2;clone.20;clone.18;clone.47;clone.18;clone.18;clone.10;clone.24;clone.18;clone.44;clone.18;clone.23;clone.18;clone.5;clone.4;clone.20;clone.10;clone.18;clone.18;clone.18;clone.1;clone.7;clone.18;clone.10;clone.20;clone.18;clone.52;clone.18;clone.18	9	clone.9;clone.1;clone.4;clone.3;clone.10;clone.39;clone.5;clone.2;clone.44
17	63	clone.9;clone.1;clone.37;clone.28;clone.9;clone.9;clone.4;clone.3;clone.10;clone.9;clone.39;clone.9;clone.32;clone.1;clone.5;clone.4;clone.2;clone.9;clone.9;clone.44;clone.9;clone.9;clone.9;clone.9;clone.1;clone.9;clone.10;clone.9;clone.9;clone.10;clone.9;clone.9;clone.3;clone.9;clone.9;clone.54;clone.9;clone.9;clone.9;clone.3;clone.2;clone.2;clone.9;clone.25;clone.9;clone.12;clone.9;clone.10;clone.2;clone.12;clone.2;clone.9;clone.5;clone.12;clone.10;clone.9;clone.31;clone.9;clone.4;clone.9;clone.3;clone.4;clone.1	18	61	clone.37;clone.3;clone.4;clone.3;clone.24;clone.5;clone.31;clone.5;clone.2;clone.22;clone.10;clone.38;clone.45;clone.5;clone.5;clone.3;clone.2;clone.5;clone.1;clone.5;clone.13;clone.3;clone.43;clone.8;clone.53;clone.3;clone.5;clone.13;clone.39;clone.5;clone.3;clone.5;clone.5;clone.5;clone.15;clone.5;clone.5;clone.10;clone.5;clone.1;clone.3;clone.2;clone.3;clone.4;clone.1;clone.31;clone.13;clone.1;clone.5;clone.3;clone.11;clone.29;clone.13;clone.4;clone.4;clone.4;clone.34;clone.20;clone.51;clone.31;clone.5	9	clone.1;clone.37;clone.4;clone.3;clone.10;clone.39;clone.5;clone.2;clone.31
17	63	clone.9;clone.1;clone.37;clone.28;clone.9;clone.9;clone.4;clone.3;clone.10;clone.9;clone.39;clone.9;clone.32;clone.1;clone.5;clone.4;clone.2;clone.9;clone.9;clone.44;clone.9;clone.9;clone.9;clone.9;clone.1;clone.9;clone.10;clone.9;clone.9;clone.10;clone.9;clone.9;clone.3;clone.9;clone.9;clone.54;clone.9;clone.9;clone.9;clone.3;clone.2;clone.2;clone.9;clone.25;clone.9;clone.12;clone.9;clone.10;clone.2;clone.12;clone.2;clone.9;clone.5;clone.12;clone.10;clone.9;clone.31;clone.9;clone.4;clone.9;clone.3;clone.4;clone.1	19	60	clone.23;clone.4;clone.35;clone.13;clone.42;clone.2;clone.39;clone.10;clone.10;clone.11;clone.35;clone.35;clone.18;clone.24;clone.2;clone.1;clone.2;clone.51;clone.10;clone.12;clone.10;clone.46;clone.10;clone.20;clone.10;clone.39;clone.27;clone.25;clone.25;clone.14;clone.4;clone.18;clone.20;clone.4;clone.2;clone.25;clone.2;clone.24;clone.11;clone.8;clone.1;clone.40;clone.31;clone.2;clone.21;clone.1;clone.4;clone.10;clone.4;clone.25;clone.42;clone.4;clone.4;clone.11;clone.28;clone.4;clone.20;clone.50;clone.10;clone.20	9	clone.1;clone.28;clone.4;clone.10;clone.39;clone.2;clone.25;clone.12;clone.31
17	63	clone.9;clone.1;clone.37;clone.28;clone.9;clone.9;clone.4;clone.3;clone.10;clone.9;clone.39;clone.9;clone.32;clone.1;clone.5;clone.4;clone.2;clone.9;clone.9;clone.44;clone.9;clone.9;clone.9;clone.9;clone.1;clone.9;clone.10;clone.9;clone.9;clone.10;clone.9;clone.9;clone.3;clone.9;clone.9;clone.54;clone.9;clone.9;clone.9;clone.3;clone.2;clone.2;clone.9;clone.25;clone.9;clone.12;clone.9;clone.10;clone.2;clone.12;clone.2;clone.9;clone.5;clone.12;clone.10;clone.9;clone.31;clone.9;clone.4;clone.9;clone.3;clone.4;clone.1	20	52	clone.30;clone.16;clone.19;clone.19;clone.19;clone.19;clone.30;clone.16;clone.30;clone.16;clone.16;clone.16;clone.16;clone.30;clone.19;clone.19;clone.19;clone.19;clone.19;clone.38;clone.19;clone.25;clone.16;clone.19;clone.30;clone.19;clone.30;clone.16;clone.19;clone.19;clone.30;clone.16;clone.16;clone.2;clone.16;clone.30;clone.19;clone.19;clone.16;clone.19;clone.19;clone.19;clone.16;clone.19;clone.19;clone.52;clone.19;clone.16;clone.19;clone.19;clone.30;clone.16	2	clone.2;clone.25
17	63	clone.9;clone.1;clone.37;clone.28;clone.9;clone.9;clone.4;clone.3;clone.10;clone.9;clone.39;clone.9;clone.32;clone.1;clone.5;clone.4;clone.2;clone.9;clone.9;clone.44;clone.9;clone.9;clone.9;clone.9;clone.1;clone.9;clone.10;clone.9;clone.9;clone.10;clone.9;clone.9;clone.3;clone.9;clone.9;clone.54;clone.9;clone.9;clone.9;clone.3;clone.2;clone.2;clone.9;clone.25;clone.9;clone.12;clone.9;clone.10;clone.2;clone.12;clone.2;clone.9;clone.5;clone.12;clone.10;clone.9;clone.31;clone.9;clone.4;clone.9;clone.3;clone.4;clone.1	22	1	clone.4	1	clone.4
18	61	clone.37;clone.3;clone.4;clone.3;clone.24;clone.5;clone.31;clone.5;clone.2;clone.22;clone.10;clone.38;clone.45;clone.5;clone.5;clone.3;clone.2;clone.5;clone.1;clone.5;clone.13;clone.3;clone.43;clone.8;clone.53;clone.3;clone.5;clone.13;clone.39;clone.5;clone.3;clone.5;clone.5;clone.5;clone.15;clone.5;clone.5;clone.10;clone.5;clone.1;clone.3;clone.2;clone.3;clone.4;clone.1;clone.31;clone.13;clone.1;clone.5;clone.3;clone.11;clone.29;clone.13;clone.4;clone.4;clone.4;clone.34;clone.20;clone.51;clone.31;clone.5	0	3	clone.9;clone.40;clone.39	1	clone.39
18	61	clone.37;clone.3;clone.4;clone.3;clone.24;clone.5;clone.31;clone.5;clone.2;clone.22;clone.10;clone.38;clone.45;clone.5;clone.5;clone.3;clone.2;clone.5;clone.1;clone.5;clone.13;clone.3;clone.43;clone.8;clone.53;clone.3;clone.5;clone.13;clone.39;clone.5;clone.3;clone.5;clone.5;clone.5;clone.15;clone.5;clone.5;clone.10;clone.5;clone.1;clone.3;clone.2;clone.3;clone.4;clone.1;clone.31;clone.13;clone.1;clone.5;clone.3;clone.11;clone.29;clone.13;clone.4;clone.4;clone.4;clone.34;clone.20;clone.51;clone.31;clone.5	2	1	clone.2	1	clone.2
18	61	clone.37;clone.3;clone.4;clone.3;clone.24;clone.5;clone.31;clone.5;clone.2;clone.22;clone.10;clone.38;clone.45;clone.5;clone.5;clone.3;clone.2;clone.5;clone.1;clone.5;clone.13;clone.3;clone.43;clone.8;clone.53;clone.3;clone.5;clone.13;clone.39;clone.5;clone.3;clone.5;clone.5;clone.5;clone.15;clone.5;clone.5;clone.10;clone.5;clone.1;clone.3;clone.2;clone.3;clone.4;clone.1;clone.31;clone.13;clone.1;clone.5;clone.3;clone.11;clone.29;clone.13;clone.4;clone.4;clone.4;clone.34;clone.20;clone.51;clone.31;clone.5	4	405	clone.1;clone.28;clone.2;clone.11;clone.29;clone.31;clone.20;clone.10;clone.2;clone.2;clone.2;clone.32;clone.33;clone.20;clone.34;clone.2;clone.35;clone.25;clone.4;clone.36;clone.28;clone.24;clone.2;clone.15;clone.38;clone.4;clone.10;clone.10;clone.39;clone.2;clone.4;clone.40;clone.11;clone.10;clone.36;clone.39;clone.41;clone.8;clone.43;clone.20;clone.35;clone.2;clone.43;clone.10;clone.22;clone.10;clone.2;clone.4;clone.11;clone.2;clone.44;clone.21;clone.43;clone.29;clone.10;clone.45;clone.39;clone.36;clone.25;clone.4;clone.4;clone.4;clone.4;clone.2;clone.2;clone.2;clone.10;clone.2;clone.23;clone.11;clone.11;clone.42;clone.43;clone.19;clone.43;clone.46;clone.4;clone.26;clone.10;clone.47;clone.48;clone.14;clone.10;clone.10;clone.24;clone.49;clone.4;clone.2;clone.36;clone.34;clone.10;clone.31;clone.43;clone.15;clone.24;clone.10;clone.8;clone.2;clone.20;clone.1;clone.2;clone.4;clone.39;clone.11;clone.10;clone.49;clone.50;clone.43;clone.10;clone.2;clone.2;clone.4;clone.1;clone.7;clone.49;clone.2;clone.2;clone.38;clone.4;clone.28;clone.15;clone.18;clone.12;clone.43;clone.7;clone.4;clone.46;clone.2;clone.10;clone.20;clone.10;clone.10;clone.2;clone.36;clone.8;clone.11;clone.2;clone.22;clone.20;clone.4;clone.10;clone.26;clone.37;clone.2;clone.28;clone.36;clone.43;clone.21;clone.10;clone.4;clone.20;clone.43;clone.46;clone.11;clone.10;clone.53;clone.43;clone.2;clone.10;clone.20;clone.10;clone.25;clone.11;clone.39;clone.7;clone.43;clone.37;clone.25;clone.17;clone.5;clone.28;clone.46;clone.8;clone.10;clone.10;clone.4;clone.2;clone.49;clone.2;clone.10;clone.5;clone.4;clone.1;clone.2;clone.10;clone.11;clone.2;clone.25;clone.2;clone.1;clone.11;clone.11;clone.4;clone.12;clone.35;clone.10;clone.10;clone.4;clone.2;clone.8;clone.23;clone.10;clone.4;clone.10;clone.44;clone.53;clone.45;clone.10;clone.2;clone.21;clone.4;clone.2;clone.47;clone.24;clone.2;clone.49;clone.33;clone.10;clone.4;clone.11;clone.4;clone.15;clone.22;clone.43;clone.2;clone.39;clone.31;clone.2;clone.10;clone.1;clone.2;clone.10;clone.54;clone.5;clone.41;clone.11;clone.10;clone.4;clone.24;clone.10;clone.20;clone.14;clone.20;clone.1;clone.24;clone.37;clone.2;clone.10;clone.12;clone.55;clone.25;clone.56;clone.20;clone.5;clone.12;clone.40;clone.43;clone.10;clone.24;clone.38;clone.4;clone.2;clone.4;clone.2;clone.31;clone.1;clone.2;clone.36;clone.54;clone.1;clone.9;clone.47;clone.10;clone.39;clone.10;clone.1;clone.38;clone.22;clone.28;clone.4;clone.10;clone.43;clone.10;clone.43;clone.43;clone.51;clone.10;clone.10;clone.4;clone.11;clone.47;clone.1;clone.24;clone.51;clone.39;clone.1;clone.49;clone.20;clone.14;clone.4;clone.50;clone.1;clone.2;clone.35;clone.11;clone.8;clone.45;clone.24;clone.8;clone.24;clone.43;clone.4;clone.38;clone.8;clone.36;clone.18;clone.2;clone.11;clone.4;clone.55;clone.8;clone.14;clone.12;clone.2;clone.2;clone.2;clone.4;clone.17;clone.11;clone.4;clone.4;clone.49;clone.4;clone.4;clone.2;clone.2;clone.10;clone.37;clone.2;clone.4;clone.10;clone.28;clone.10;clone.5;clone.2;clone.33;clone.10;clone.20;clone.23;clone.20;clone.35;clone.10;clone.36;clone.19;clone.55;clone.5;clone.6;clone.24;clone.43;clone.46;clone.39;clone.4;clone.12;clone.2;clone.4;clone.10;clone.37;clone.2;clone.11;clone.14;clone.22;clone.22;clone.20;clone.8;clone.4;clone.2;clone.11;clone.11;clone.56;clone.2;clone.43;clone.39;clone.44;clone.1;clone.8;clone.2;clone.1;clone.8;clone.48;clone.2;clone.4;clone.20;clone.8;clone.11;clone.10;clone.20;clone.43;clone.14;clone.2;clone.20;clone.1;clone.38;clone.22;clone.2;clone.1	21	clone.37;clone.4;clone.24;clone.5;clone.31;clone.2;clone.22;clone.10;clone.38;clone.45;clone.1;clone.43;clone.8;clone.53;clone.39;clone.15;clone.11;clone.29;clone.34;clone.20;clone.51
18	61	clone.37;clone.3;clone.4;clone.3;clone.24;clone.5;clone.31;clone.5;clone.2;clone.22;clone.10;clone.38;clone.45;clone.5;clone.5;clone.3;clone.2;clone.5;clone.1;clone.5;clone.13;clone.3;clone.43;clone.8;clone.53;clone.3;clone.5;clone.13;clone.39;clone.5;clone.3;clone.5;clone.5;clone.5;clone.15;clone.5;clone.5;clone.10;clone.5;clone.1;clone.3;clone.2;clone.3;clone.4;clone.1;clone.31;clone.13;clone.1;clone.5;clone.3;clone.11;clone.29;clone.13;clone.4;clone.4;clone.4;clone.34;clone.20;clone.51;clone.31;clone.5	16	75	clone.18;clone.10;clone.36;clone.2;clone.18;clone.18;clone.18;clone.43;clone.20;clone.9;clone.18;clone.18;clone.4;clone.10;clone.10;clone.39;clone.52;clone.18;clone.18;clone.8;clone.5;clone.18;clone.3;clone.53;clone.18;clone.18;clone.2;clone.18;clone.18;clone.23;clone.18;clone.24;clone.18;clone.4;clone.18;clone.10;clone.7;clone.27;clone.18;clone.20;clone.18;clone.47;clone.18;clone.18;clone.2;clone.4;clone.2;clone.20;clone.18;clone.47;clone.18;clone.18;clone.10;clone.24;clone.18;clone.44;clone.18;clone.23;clone.18;clone.5;clone.4;clone.20;clone.10;clone.18;clone.18;clone.18;clone.1;clone.7;clone.18;clone.10;clone.20;clone.18;clone.52;clone.18;clone.18	12	clone.3;clone.4;clone.24;clone.5;clone.2;clone.10;clone.1;clone.43;clone.8;clone.53;clone.39;clone.20
18	61	clone.37;clone.3;clone.4;clone.3;clone.24;clone.5;clone.31;clone.5;clone.2;clone.22;clone.10;clone.38;clone.45;clone.5;clone.5;clone.3;clone.2;clone.5;clone.1;clone.5;clone.13;clone.3;clone.43;clone.8;clone.53;clone.3;clone.5;clone.13;clone.39;clone.5;clone.3;clone.5;clone.5;clone.5;clone.15;clone.5;clone.5;clone.10;clone.5;clone.1;clone.3;clone.2;clone.3;clone.4;clone.1;clone.31;clone.13;clone.1;clone.5;clone.3;clone.11;clone.29;clone.13;clone.4;clone.4;clone.4;clone.34;clone.20;clone.51;clone.31;clone.5	17	63	clone.9;clone.1;clone.37;clone.28;clone.9;clone.9;clone.4;clone.3;clone.10;clone.9;clone.39;clone.9;clone.32;clone.1;clone.5;clone.4;clone.2;clone.9;clone.9;clone.44;clone.9;clone.9;clone.9;clone.9;clone.1;clone.9;clone.10;clone.9;clone.9;clone.10;clone.9;clone.9;clone.3;clone.9;clone.9;clone.54;clone.9;clone.9;clone.9;clone.3;clone.2;clone.2;clone.9;clone.25;clone.9;clone.12;clone.9;clone.10;clone.2;clone.12;clone.2;clone.9;clone.5;clone.12;clone.10;clone.9;clone.31;clone.9;clone.4;clone.9;clone.3;clone.4;clone.1	9	clone.37;clone.3;clone.4;clone.5;clone.31;clone.2;clone.10;clone.1;clone.39
18	61	clone.37;clone.3;clone.4;clone.3;clone.24;clone.5;clone.31;clone.5;clone.2;clone.22;clone.10;clone.38;clone.45;clone.5;clone.5;clone.3;clone.2;clone.5;clone.1;clone.5;clone.13;clone.3;clone.43;clone.8;clone.53;clone.3;clone.5;clone.13;clone.39;clone.5;clone.3;clone.5;clone.5;clone.5;clone.15;clone.5;clone.5;clone.10;clone.5;clone.1;clone.3;clone.2;clone.3;clone.4;clone.1;clone.31;clone.13;clone.1;clone.5;clone.3;clone.11;clone.29;clone.13;clone.4;clone.4;clone.4;clone.34;clone.20;clone.51;clone.31;clone.5	19	60	clone.23;clone.4;clone.35;clone.13;clone.42;clone.2;clone.39;clone.10;clone.10;clone.11;clone.35;clone.35;clone.18;clone.24;clone.2;clone.1;clone.2;clone.51;clone.10;clone.12;clone.10;clone.46;clone.10;clone.20;clone.10;clone.39;clone.27;clone.25;clone.25;clone.14;clone.4;clone.18;clone.20;clone.4;clone.2;clone.25;clone.2;clone.24;clone.11;clone.8;clone.1;clone.40;clone.31;clone.2;clone.21;clone.1;clone.4;clone.10;clone.4;clone.25;clone.42;clone.4;clone.4;clone.11;clone.28;clone.4;clone.20;clone.50;clone.10;clone.20	12	clone.4;clone.24;clone.31;clone.2;clone.10;clone.1;clone.13;clone.8;clone.39;clone.11;clone.20;clone.51
18	61	clone.37;clone.3;clone.4;clone.3;clone.24;clone.5;clone.31;clone.5;clone.2;clone.22;clone.10;clone.38;clone.45;clone.5;clone.5;clone.3;clone.2;clone.5;clone.1;clone.5;clone.13;clone.3;clone.43;clone.8;clone.53;clone.3;clone.5;clone.13;clone.39;clone.5;clone.3;clone.5;clone.5;clone.5;clone.15;clone.5;clone.5;clone.10;clone.5;clone.1;clone.3;clone.2;clone.3;clone.4;clone.1;clone.31;clone.13;clone.1;clone.5;clone.3;clone.11;clone.29;clone.13;clone.4;clone.4;clone.4;clone.34;clone.20;clone.51;clone.31;clone.5	20	52	clone.30;clone.16;clone.19;clone.19;clone.19;clone.19;clone.30;clone.16;clone.30;clone.16;clone.16;clone.16;clone.16;clone.30;clone.19;clone.19;clone.19;clone.19;clone.19;clone.38;clone.19;clone.25;clone.16;clone.19;clone.30;clone.19;clone.30;clone.16;clone.19;clone.19;clone.30;clone.16;clone.16;clone.2;clone.16;clone.30;clone.19;clone.19;clone.16;clone.19;clone.19;clone.19;clone.16;clone.19;clone.19;clone.52;clone.19;clone.16;clone.19;clone.19;clone.30;clone.16	2	clone.2;clone.38
18	61	clone.37;clone.3;clone.4;clone.3;clone.24;clone.5;clone.31;clone.5;clone.2;clone.22;clone.10;clone.38;clone.45;clone.5;clone.5;clone.3;clone.2;clone.5;clone.1;clone.5;clone.13;clone.3;clone.43;clone.8;clone.53;clone.3;clone.5;clone.13;clone.39;clone.5;clone.3;clone.5;clone.5;clone.5;clone.15;clone.5;clone.5;clone.10;clone.5;clone.1;clone.3;clone.2;clone.3;clone.4;clone.1;clone.31;clone.13;clone.1;clone.5;clone.3;clone.11;clone.29;clone.13;clone.4;clone.4;clone.4;clone.34;clone.20;clone.51;clone.31;clone.5	22	1	clone.4	1	clone.4
19	60	clone.23;clone.4;clone.35;clone.13;clone.42;clone.2;clone.39;clone.10;clone.10;clone.11;clone.35;clone.35;clone.18;clone.24;clone.2;clone.1;clone.2;clone.51;clone.10;clone.12;clone.10;clone.46;clone.10;clone.20;clone.10;clone.39;clone.27;clone.25;clone.25;clone.14;clone.4;clone.18;clone.20;clone.4;clone.2;clone.25;clone.2;clone.24;clone.11;clone.8;clone.1;clone.40;clone.31;clone.2;clone.21;clone.1;clone.4;clone.10;clone.4;clone.25;clone.42;clone.4;clone.4;clone.11;clone.28;clone.4;clone.20;clone.50;clone.10;clone.20	0	3	clone.9;clone.40;clone.39	2	clone.39;clone.40
19	60	clone.23;clone.4;clone.35;clone.13;clone.42;clone.2;clone.39;clone.10;clone.10;clone.11;clone.35;clone.35;clone.18;clone.24;clone.2;clone.1;clone.2;clone.51;clone.10;clone.12;clone.10;clone.46;clone.10;clone.20;clone.10;clone.39;clone.27;clone.25;clone.25;clone.14;clone.4;clone.18;clone.20;clone.4;clone.2;clone.25;clone.2;clone.24;clone.11;clone.8;clone.1;clone.40;clone.31;clone.2;clone.21;clone.1;clone.4;clone.10;clone.4;clone.25;clone.42;clone.4;clone.4;clone.11;clone.28;clone.4;clone.20;clone.50;clone.10;clone.20	2	1	clone.2	1	clone.2
